               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10086,            0.052085,            0.038214,                   0,                   0,                   0,                   0,            0.063405,              0.0404,            0.024532,              0.0721,              0.0031,              0.0031
                   1,            0.083133,            0.062718,            0.034901,           0.0022256,               0.117,            0.001546,          0.00027239,            0.062408,               0.041,            0.024591,            0.043269,           0.0062688,           0.0062688
                   2,            0.075087,            0.057394,            0.030146,            0.014008,             0.66395,            0.067689,            0.019183,            0.059881,            0.041007,            0.024369,            0.014406,           0.0094059,           0.0094059
                   3,            0.071147,            0.053363,            0.025113,             0.50865,             0.35861,             0.18597,            0.069043,            0.046635,            0.036136,            0.014604,           0.0098515,           0.0098515,           0.0098515
                   4,            0.065853,            0.051363,             0.01983,             0.19773,             0.46636,             0.23225,            0.077745,            0.045659,            0.038472,           0.0096159,           0.0098515,           0.0098515,           0.0098515
                   5,            0.060153,            0.049431,            0.015228,             0.38337,             0.63985,             0.48165,             0.15449,            0.038778,            0.035859,           0.0070656,            0.009802,            0.009802,            0.009802
                   6,            0.056509,            0.047374,            0.012359,              0.4559,              0.6319,             0.53832,             0.17383,            0.043463,            0.031458,           0.0036518,           0.0097525,           0.0097525,           0.0097525
                   7,            0.053205,            0.046192,           0.0096837,              0.6148,             0.88461,             0.73658,             0.30315,            0.032701,            0.029095,           0.0025469,            0.009703,            0.009703,            0.009703
                   8,            0.049112,            0.043585,           0.0078251,             0.91011,             0.93642,             0.96592,             0.45963,            0.023845,             0.02929,            0.001695,           0.0096535,           0.0096535,           0.0096535
                   9,            0.047515,            0.044407,           0.0065438,             0.78585,             0.93241,             0.97148,             0.48639,             0.02471,            0.026913,           0.0018489,            0.009604,            0.009604,            0.009604
                  10,            0.044589,            0.042027,           0.0066106,             0.77453,             0.90413,             0.88153,             0.39704,            0.028361,             0.03043,           0.0012768,           0.0095545,           0.0095545,           0.0095545
                  11,             0.04451,            0.041985,           0.0053697,             0.84533,             0.91235,             0.88138,              0.3791,            0.026254,            0.026247,           0.0010247,            0.009505,            0.009505,            0.009505
                  12,            0.042699,            0.039796,           0.0057971,             0.96448,              0.9865,             0.99111,             0.53303,            0.024045,            0.025308,           0.0012694,           0.0094555,           0.0094555,           0.0094555
                  13,             0.04118,            0.040141,           0.0059181,             0.96541,             0.99077,              0.9917,             0.61586,             0.02252,             0.02478,           0.0017222,            0.009406,            0.009406,            0.009406
                  14,            0.039843,            0.038147,           0.0044486,             0.98236,             0.98319,              0.9929,              0.5422,            0.021871,            0.024606,           0.0011246,           0.0093565,           0.0093565,           0.0093565
                  15,            0.038965,            0.038108,           0.0045811,             0.96706,             0.97951,             0.99004,             0.56912,            0.021858,            0.023848,           0.0010297,            0.009307,            0.009307,            0.009307
                  16,            0.038798,            0.037646,           0.0044281,              0.9849,             0.99009,             0.99325,             0.58715,            0.019955,            0.024164,          0.00098373,           0.0092575,           0.0092575,           0.0092575
                  17,            0.037715,            0.037081,           0.0036608,              0.9758,             0.99337,             0.99099,             0.60966,            0.019418,            0.024143,           0.0011337,            0.009208,            0.009208,            0.009208
                  18,            0.038858,            0.037043,           0.0043154,             0.98491,             0.99686,             0.99342,              0.5709,            0.022337,            0.023171,          0.00098047,           0.0091585,           0.0091585,           0.0091585
                  19,            0.036225,            0.034505,           0.0039669,             0.96693,             0.99216,             0.99136,             0.59612,            0.019258,            0.024408,          0.00090734,            0.009109,            0.009109,            0.009109
                  20,             0.03585,            0.034321,           0.0040099,             0.97719,             0.99624,              0.9917,             0.63615,             0.01973,            0.023051,          0.00098598,           0.0090595,           0.0090595,           0.0090595
                  21,            0.035949,            0.036095,           0.0039009,              0.9873,             0.98721,             0.99283,             0.61816,            0.019619,            0.023458,           0.0012727,             0.00901,             0.00901,             0.00901
                  22,            0.035096,            0.034856,           0.0031235,             0.97539,             0.99179,             0.98823,              0.6283,            0.018128,            0.022973,          0.00079798,           0.0089605,           0.0089605,           0.0089605
                  23,            0.034769,            0.034619,           0.0032971,             0.98466,             0.99049,              0.9924,               0.632,            0.020073,            0.022717,          0.00079833,            0.008911,            0.008911,            0.008911
                  24,            0.034598,             0.03412,           0.0033847,             0.96595,             0.99451,             0.99152,             0.65012,            0.019258,            0.022264,          0.00083281,           0.0088615,           0.0088615,           0.0088615
                  25,            0.033485,            0.033451,           0.0029961,             0.97966,             0.99686,             0.99162,             0.62321,            0.019288,            0.022754,           0.0010723,            0.008812,            0.008812,            0.008812
                  26,            0.032488,            0.034015,            0.002909,             0.97552,             0.99112,             0.99063,             0.65183,            0.017806,            0.022972,           0.0014881,           0.0087625,           0.0087625,           0.0087625
                  27,            0.033183,            0.033429,           0.0027694,             0.97766,             0.98973,             0.99254,             0.64277,            0.017005,            0.022903,           0.0012302,            0.008713,            0.008713,            0.008713
